LONS,LATS,COD_ZC,ZC_NOM
-74.13010207018996,4.525412047969083,002598,EL MOCHUELO II URBANO
-74.18983386471552,4.604624764206239,004524,SAN PABLO BOSA
-74.08868644542106,4.499815896763403,001344,LOS SOCHES
-74.09779081148251,4.486214649263084,002630,EL PORTAL DEL DIVINO
-74.14123582929828,4.55124843904198,002517,LUCERO DEL SUR
-74.10085977733898,4.509386795116125,002605,BOLONIA
-74.0783766509351,4.6617757150242225,005103,SAN MIGUEL
-74.10272302208936,4.696977451801675,005615,LA SOLEDAD NORTE
-74.21146754589539,4.616265929841793,205318,SAN BERNARDINO XVIII
-74.06441989478911,4.617608564812737,008104,LA PERSEVERANCIA
-74.06739171785699,4.617025116038961,008109,SAN MARTIN
-74.08965521026813,4.604831773805269,004110,LA PEPITA
-74.10164319158939,4.577806282297121,001401,SAN JOSE SUR
-74.15897274874169,4.673096337603832,006520,ZONA FRANCA
-74.10150303095492,4.673825545719033,005508,LA CABANA
-74.11873427233196,4.48925302147278,002619,VILLA ANITA
-74.18657077281259,4.639666828669938,004630,PARCELA EL PORVENIR
-74.0691205287102,4.752489475155736,009215,CASABLANCA SUBA
-74.30414349707613,4.09561124649483,109102,SAN ANTONIO
-74.08568944340786,4.542117711809894,001315,ALTAMIRA
-74.08985107037768,4.524885581749772,001325,JUAN REY (LA PAZ)
-74.02675626764412,4.710346243477476,008405,GINEBRA
-74.06876895837907,4.730808996304943,009119,ATENAS
-74.02925740356184,4.72329908969873,008509,LOS CEDROS ORIENTAL
-74.03409773866241,4.7213322122265255,008511,CEDRO NARVAEZ
-74.1138148629654,4.518387829177158,002572,SALAZAR USME
-74.14681487098349,4.554145784707722,002553,SUMAPAZ
-74.10877215792075,4.749014549115361,009232,SABANA DE TIBABUYES
-74.14952628929339,4.54779343734904,002539,SAN RAFAEL
-74.05164384737904,4.6737587628240185,008308,EL CHICO
-74.06496845807823,4.676709517915424,005305,LA PATRIA
-74.08166726354193,4.67443723821799,005204,SAN FERNANDO OCCIDENTAL
-74.16441816262639,4.669869044129573,105104,EL TINTAL
-74.08804957537325,4.529570292118188,001323,NUEVA DELHI
-74.07114564803481,4.657466445904969,007311,SIETE DE AGOSTO
-74.06642833020292,4.6596700817359515,007303,COLOMBIA
-74.11712260228161,4.6575992706428515,006315,LA ESPERANZA SUR
-74.11315478966542,4.545081195219402,002510,LA PICOTA ORIENTAL
-74.07487085627233,4.55937053268901,201306,TIBAQUE I
-74.09818642310876,4.48866351148567,002617,EL REFUGIO I
-74.17640159219887,4.60918597865542,004536,EL RUBI
-74.10011209205376,4.4715899176687515,102502,EL UVAL RURAL
-74.14224346695885,4.633254141766748,006508,LAS DOS AVENIDAS
-74.09699107403318,4.5594453818174845,001408,VILLA DE LOS ALPES
-74.0252914111481,4.71819057974969,008536,BOSQUE DE PINOS I
-74.02816546058274,4.757493182242834,008523,SAN ANTONIO NORTE
-74.09944567144119,4.600046874687209,004108,SANTA ISABEL
-74.07345937478885,4.653425774769285,007308,QUINTA MUTIS
-74.16966397943946,4.693192451094549,006532,KASANDRA
-74.09964307369931,4.686109981710377,005603,BOYACA
-74.0713508794808,4.64700370208894,007202,SAN LUIS
-74.03005296657864,4.6867078118115275,008408,SANTA ANA
-74.13893452280632,4.652111533484544,006511,LA PAMPA
-74.08709930901497,4.548849621518654,001333,ALTOS DEL POBLADO
-74.09655147901529,4.548065678340357,001311,LA GLORIA OCCIDENTAL
-74.09016923819134,4.595046471817712,004105,EDUARDO SANTOS
-74.19418976697332,4.637005182701571,004633,SANTA FE BOSA
-74.1661961904658,4.648597306374149,006518,OSORIO III
-74.126616226417,4.623473447454916,004551,HIPOTECHO SUR
-74.14916482757135,4.654118663359265,205101,VEREDA EL TINTAL URBANO
-74.13816449729865,4.660643611976784,205102,VEREDA EL TINTAL
-74.08669401312777,4.746788054205976,009241,BOSQUES DE SAN JORGE
-74.11602215581888,4.361308576706837,102909,SAN BENITO
-74.14247724085158,4.18773542411919,103205,RAIZAL
-74.20502924985777,4.320068371806891,102116,CHISACA
-74.1214181511423,4.717807288982721,005649,VILLAS DE GRANADA I
-74.11450574198372,4.717687608405453,005622,BOLIVIA
-74.14743076613023,4.626890659049774,004548,TECHO
-74.15238055108975,4.605409048706497,004584,SANTA CATALINA
-74.09623291827458,4.570554333111304,001405,VEINTE DE JULIO
-74.11684908396546,4.5730654540096625,001412,GRANJAS SAN PABLO
-74.07574632556339,4.733420116088687,009260,ALTOS DE SUBA
-74.07885207136121,4.6275206926627055,007107,LAS AMERICAS
-74.11380000027016,4.522369002627962,002563,EL PEDREGAL
-74.06305192907467,4.600271133916184,008114,PARQUE NACIONAL URBANO
-74.07637178556405,4.654139725913504,007309,BENJAMIN HERRERA
-74.12124218806605,4.650421935434889,006308,FRANCO
-74.1884456481012,4.607728275448725,004586,JIMENEZ DE QUESADA II SECTOR
-74.11474718547437,4.542088942175036,002566,LA PAZ
-74.15236415300957,4.549735048253031,002549,VILLA GLORIA
-74.1114041251583,4.5273733479376785,002631,EL NEVADO
-74.1112486160266,4.5299106009509105,002551,ALASKA
-74.05875706013452,4.666016057745652,008313,LAGO GAITAN
-74.07273871711357,4.618718093247696,007105,ARMENIA
-74.07612726287188,4.582724853043386,003210,RAMIREZ
-74.0622138755451,4.672852722853446,007401,POLO CLUB
-74.14613389079345,4.55960656108116,002502,MILLAN
