LONS,LATS,COD_LCL,NAME_LCL
-74.0362175815148,4.593972728724716,03,SANTA FE
-74.16195890440652,4.482460265935783,19,CIUDAD BOLIVAR
-74.0758452755469,4.763208121309928,11,SUBA
-74.11336318293525,4.566476900860273,18,RAFAEL URIBE URIBE
-74.07355160510068,4.669566933458008,12,BARRIOS UNIDOS
-74.15266762383382,4.630347351356089,08,KENNEDY
-74.14015130074624,4.678182925952192,09,FONTIBON
-74.113187703298,4.701125563272901,10,ENGATIVA
-74.10284240061449,4.588770674796082,15,ANTONIO NARIÑO
-74.08576901958143,4.6411735865921075,13,TEUSAQUILLO
-74.14280649581936,4.390025128368803,05,USME
-74.25697871800469,4.036568747869632,20,SUMAPAZ
-74.07207079532802,4.596605075136378,17,CANDELARIA
-74.06607256050648,4.548749008988841,04,SAN CRISTOBAL
-74.03688302787386,4.644982720078637,02,CHAPINERO
-74.02782483459404,4.742092413856286,01,USAQUEN
-74.13598945142014,4.574841398493447,06,TUNJUELITO
-74.19438893446508,4.621779959835884,07,BOSA
-74.08794786812679,4.607155934954456,14,LOS MARTIRES
-74.111580233529,4.616245470318945,16,PUENTE ARANDA
