LONS,LATS,COD_UPZ,UPZ_NAME
-74.18986176818663,4.623847317868484,UPZ84,BOSA OCCIDENTAL
-74.19439395787035,4.607838322758633,UPZ85,BOSA CENTRAL
-74.0812802526582,4.562267710532854,UPZ32,SAN BLAS
-74.08216496571485,4.590334413282704,UPZ95,LAS CRUCES
-74.21028047153337,4.629489567733794,UPZ87,TINTAL SUR
-74.03373455591176,4.791482495494488,UPZ1,PASEO DE LOS LIBERTADORES
-74.14292812603644,4.6423938696457645,UPZ46,CASTILLA
-74.12606855911552,4.6532659536780985,UPZ112,GRANJAS DE TECHO
-74.15316168017016,4.657269956949906,UPZ78,TINTAL NORTE
-74.14239607284192,4.698928514105014,UPZ117,AEROPUERTO EL DORADO
-74.16132915599506,4.676126031871017,UPZ77,ZONA FRANCA
-74.11572582185394,4.5576290308581004,UPZ54,MARRUECOS
-74.1183683667059,4.582668636186758,UPZ39,QUIROGA
-74.12902836419235,4.558443751882283,UPZ62,TUNJUELITO
-74.11571545507894,4.570019830441272,UPZ53,MARCO FIDEL SUAREZ
-74.17093612297583,4.585334165213189,UPZ69,ISMAEL PERDOMO
-74.11167475479715,4.479698016311439,UPZ61,CIUDAD USME
-74.13942101773331,4.582924630862975,UPZ42,VENECIA
-74.15840977817278,4.396346140130623,UPR3,UPR RIO TUNJUELO
-74.18035406494919,4.139735424194031,UPR4,UPR RIO BLANCO
-74.32241786499935,3.9484678224685377,UPR5,UPR RIO SUMAPAZ
-74.07945936602792,4.7928033756002115,UPR1,UPR ZONA NORTE
